,Row,CASE_ID,StartTimestamp,Activity,Resource,CompleteTimestamp,StartDate
279085,279085,IM0026331,27.01.2014 16:56,Communication with customer,TEAM0197,28.01.2014 14:31,2014-01-27
279086,279086,IM0026331,28.01.2014 14:31,Closed,TEAM0197,28.01.2014 14:31,2014-01-28
279087,279087,IM0026331,28.01.2014 14:31,Caused By CI,TEAM0197,28.01.2014 14:41,2014-01-28
325143,325143,IM0031124,27.01.2014 08:59,Open,TEAM0008,27.01.2014 09:15,2014-01-27
325144,325144,IM0031124,27.01.2014 09:15,Operator Update,TEAM0192,27.01.2014 09:15,2014-01-27
325145,325145,IM0031124,27.01.2014 09:15,Reassignment,TEAM0192,27.01.2014 09:36,2014-01-27
325146,325146,IM0031124,27.01.2014 09:36,Reassignment,TEAM0008,27.01.2014 11:10,2014-01-27
325147,325147,IM0031124,27.01.2014 11:10,Operator Update,TEAM0205,27.01.2014 11:10,2014-01-27
325148,325148,IM0031124,27.01.2014 11:10,Assignment,TEAM0205,28.01.2014 07:06,2014-01-27
325149,325149,IM0031124,28.01.2014 07:06,Status Change,TEAM0205,28.01.2014 07:06,2014-01-28
325150,325150,IM0031124,28.01.2014 07:06,Operator Update,TEAM0205,31.01.2014 09:13,2014-01-28
325151,325151,IM0031124,31.01.2014 09:13,Reassignment,TEAM0205,04.02.2014 14:29,2014-01-31
325152,325152,IM0031124,04.02.2014 14:29,Caused By CI,TEAM0205,04.02.2014 14:29,2014-04-02
325153,325153,IM0031124,04.02.2014 14:29,Closed,TEAM0205,04.02.2014 14:39,2014-04-02
325154,325154,IM0031125,27.01.2014 09:11,Open,TEAM0016,27.01.2014 09:13,2014-01-27
325155,325155,IM0031125,27.01.2014 09:13,Update,TEAM9999,27.01.2014 11:38,2014-01-27
325156,325156,IM0031125,27.01.2014 11:38,Reassignment,TEAM0014,27.01.2014 11:38,2014-01-27
325157,325157,IM0031125,27.01.2014 11:38,Update,TEAM0014,27.01.2014 11:47,2014-01-27
325158,325158,IM0031125,27.01.2014 11:47,Assignment,TEAM0016,28.01.2014 15:31,2014-01-27
325159,325159,IM0031125,28.01.2014 15:31,Closed,TEAM0016,28.01.2014 15:31,2014-01-28
325160,325160,IM0031125,28.01.2014 15:31,Caused By CI,TEAM0016,29.01.2014 09:59,2014-01-28
325161,325161,IM0031125,29.01.2014 09:59,Update,TEAM0016,29.01.2014 09:59,2014-01-29
325162,325162,IM0031125,29.01.2014 09:59,Assignment,TEAM0016,29.01.2014 09:59,2014-01-29
325163,325163,IM0031125,29.01.2014 09:59,Reassignment,TEAM0016,29.01.2014 09:59,2014-01-29
325164,325164,IM0031125,29.01.2014 09:59,Reopen,TEAM0016,29.01.2014 11:06,2014-01-29
325165,325165,IM0031125,29.01.2014 11:06,Reassignment,TEAM0014,29.01.2014 11:06,2014-01-29
325166,325166,IM0031125,29.01.2014 11:06,Update,TEAM0014,29.01.2014 11:24,2014-01-29
325167,325167,IM0031125,29.01.2014 11:24,Assignment,TEAM0015,30.01.2014 05:47,2014-01-29
325168,325168,IM0031125,30.01.2014 05:47,Reassignment,TEAM0015,30.01.2014 05:47,2014-01-30
325169,325169,IM0031125,30.01.2014 05:47,Operator Update,TEAM0015,30.01.2014 05:47,2014-01-30
325170,325170,IM0031125,30.01.2014 05:47,Status Change,TEAM0015,30.01.2014 05:47,2014-01-30
325171,325171,IM0031125,30.01.2014 05:47,Assignment,TEAM0015,30.01.2014 11:48,2014-01-30
325172,325172,IM0031125,30.01.2014 11:48,Reassignment,TEAM0014,30.01.2014 11:48,2014-01-30
325173,325173,IM0031125,30.01.2014 11:48,Update,TEAM0014,30.01.2014 11:48,2014-01-30
325174,325174,IM0031125,30.01.2014 11:48,Description Update,TEAM0014,30.01.2014 12:14,2014-01-30
325175,325175,IM0031125,30.01.2014 12:14,Reassignment,TEAM0035,30.01.2014 12:14,2014-01-30
325176,325176,IM0031125,30.01.2014 12:14,Operator Update,TEAM0035,30.01.2014 12:42,2014-01-30
325177,325177,IM0031125,30.01.2014 12:42,Assignment,TEAM0052,30.01.2014 13:06,2014-01-30
325178,325178,IM0031125,30.01.2014 13:06,Assignment,TEAM0052,30.01.2014 13:06,2014-01-30
325179,325179,IM0031125,30.01.2014 13:06,Reassignment,TEAM0052,30.01.2014 13:06,2014-01-30
325180,325180,IM0031125,30.01.2014 13:06,Operator Update,TEAM0052,30.01.2014 13:28,2014-01-30
325181,325181,IM0031125,30.01.2014 13:28,Reassignment,TEAM0035,30.01.2014 13:28,2014-01-30
325182,325182,IM0031125,30.01.2014 13:28,Operator Update,TEAM0035,30.01.2014 13:33,2014-01-30
325183,325183,IM0031125,30.01.2014 13:33,Update,TEAM0014,30.01.2014 13:33,2014-01-30
325184,325184,IM0031125,30.01.2014 13:33,Reassignment,TEAM0014,30.01.2014 14:15,2014-01-30
325185,325185,IM0031125,30.01.2014 14:15,Assignment,TEAM0016,31.01.2014 08:27,2014-01-30
325186,325186,IM0031125,31.01.2014 08:27,Closed,TEAM0016,31.01.2014 08:37,2014-01-31
325193,325193,IM0031127,27.01.2014 09:28,Open,TEAM0016,27.01.2014 11:58,2014-01-27
325194,325194,IM0031127,27.01.2014 11:58,Reassignment,TEAM0014,27.01.2014 11:58,2014-01-27
325195,325195,IM0031127,27.01.2014 11:58,Update,TEAM0014,27.01.2014 12:43,2014-01-27
325196,325196,IM0031127,27.01.2014 12:43,Assignment,TEAM0016,29.01.2014 09:24,2014-01-27
325197,325197,IM0031127,29.01.2014 09:24,Caused By CI,TEAM0016,29.01.2014 09:24,2014-01-29
325198,325198,IM0031127,29.01.2014 09:24,Closed,TEAM0016,29.01.2014 09:34,2014-01-29
325263,325263,IM0031140,27.01.2014 10:55,Open,TEAM0008,27.01.2014 12:50,2014-01-27
325264,325264,IM0031140,27.01.2014 12:50,Assignment,TEAM0197,27.01.2014 12:58,2014-01-27
325265,325265,IM0031140,27.01.2014 12:58,Operator Update,TEAM0197,27.01.2014 12:58,2014-01-27
325266,325266,IM0031140,27.01.2014 12:58,Closed,TEAM0197,27.01.2014 13:08,2014-01-27
325500,325500,IM0031162,27.01.2014 09:50,Open,TEAM0008,27.01.2014 12:32,2014-01-27
325501,325501,IM0031162,27.01.2014 12:32,Status Change,TEAM0191,27.01.2014 12:32,2014-01-27
325502,325502,IM0031162,27.01.2014 12:32,Assignment,TEAM0191,27.01.2014 12:39,2014-01-27
325503,325503,IM0031162,27.01.2014 12:39,Operator Update,TEAM0191,27.01.2014 12:39,2014-01-27
325504,325504,IM0031162,27.01.2014 12:39,Status Change,TEAM0191,27.01.2014 13:06,2014-01-27
325505,325505,IM0031162,27.01.2014 13:06,Update from customer,TEAM0191,27.01.2014 13:09,2014-01-27
325506,325506,IM0031162,27.01.2014 13:09,Reassignment,TEAM0191,27.01.2014 13:09,2014-01-27
325507,325507,IM0031162,27.01.2014 13:09,Operator Update,TEAM0191,27.01.2014 13:09,2014-01-27
325508,325508,IM0031162,27.01.2014 13:09,Status Change,TEAM0191,27.01.2014 13:09,2014-01-27
325509,325509,IM0031162,27.01.2014 13:09,Assignment,TEAM0191,27.01.2014 15:05,2014-01-27
325510,325510,IM0031162,27.01.2014 15:05,Caused By CI,TEAM0187,27.01.2014 15:05,2014-01-27
325511,325511,IM0031162,27.01.2014 15:05,Closed,TEAM0187,27.01.2014 15:15,2014-01-27
325574,325574,IM0031174,27.01.2014 10:14,Open,TEAM0008,27.01.2014 10:19,2014-01-27
325575,325575,IM0031174,27.01.2014 10:19,Assignment,TEAM0191,27.01.2014 16:34,2014-01-27
325576,325576,IM0031174,27.01.2014 16:34,Closed,TEAM0191,27.01.2014 16:34,2014-01-27
325577,325577,IM0031174,27.01.2014 16:34,Caused By CI,TEAM0191,27.01.2014 16:44,2014-01-27
325660,325660,IM0031185,27.01.2014 09:11,Open,TEAM0008,27.01.2014 10:13,2014-01-27
325661,325661,IM0031185,27.01.2014 10:13,Assignment,TEAM0039,27.01.2014 10:13,2014-01-27
325662,325662,IM0031185,27.01.2014 10:13,Status Change,TEAM0039,27.01.2014 15:53,2014-01-27
325663,325663,IM0031185,27.01.2014 15:53,Mail to Customer,TEAM0039,27.01.2014 15:54,2014-01-27
325664,325664,IM0031185,27.01.2014 15:54,Closed,TEAM0039,27.01.2014 16:04,2014-01-27
325764,325764,IM0031197,27.01.2014 09:51,Open,TEAM0008,27.01.2014 11:41,2014-01-27
325765,325765,IM0031197,27.01.2014 11:41,Assignment,TEAM0007,29.01.2014 10:21,2014-01-27
325766,325766,IM0031197,29.01.2014 10:21,Caused By CI,TEAM0007,29.01.2014 10:21,2014-01-29
325767,325767,IM0031197,29.01.2014 10:21,Closed,TEAM0007,29.01.2014 10:31,2014-01-29
325838,325838,IM0031208,27.01.2014 10:18,Open,TEAM0008,27.01.2014 13:10,2014-01-27
325839,325839,IM0031208,27.01.2014 13:10,Assignment,TEAM0191,27.01.2014 13:10,2014-01-27
325840,325840,IM0031208,27.01.2014 13:10,Status Change,TEAM0191,27.01.2014 13:12,2014-01-27
325841,325841,IM0031208,27.01.2014 13:12,Assignment,TEAM0191,27.01.2014 13:12,2014-01-27
325842,325842,IM0031208,27.01.2014 13:12,Operator Update,TEAM0191,27.01.2014 13:12,2014-01-27
325843,325843,IM0031208,27.01.2014 13:12,Status Change,TEAM0191,27.01.2014 13:12,2014-01-27
325844,325844,IM0031208,27.01.2014 13:12,Reassignment,TEAM0191,27.01.2014 14:57,2014-01-27
325845,325845,IM0031208,27.01.2014 14:57,Caused By CI,TEAM0187,27.01.2014 14:57,2014-01-27
325846,325846,IM0031208,27.01.2014 14:57,Closed,TEAM0187,27.01.2014 15:07,2014-01-27
326085,326085,IM0031235,27.01.2014 10:38,Open,TEAM0018,27.01.2014 10:39,2014-01-27
326086,326086,IM0031235,27.01.2014 10:39,Reassignment,TEAM0018,27.01.2014 10:39,2014-01-27
326087,326087,IM0031235,27.01.2014 10:39,Update,TEAM0018,27.01.2014 16:38,2014-01-27
326088,326088,IM0031235,27.01.2014 16:38,Assignment,TEAM0017,28.01.2014 14:32,2014-01-27
326089,326089,IM0031235,28.01.2014 14:32,Assignment,TEAM0053,28.01.2014 14:32,2014-01-28
326090,326090,IM0031235,28.01.2014 14:32,Reassignment,TEAM0053,28.01.2014 14:32,2014-01-28
326091,326091,IM0031235,28.01.2014 14:32,Operator Update,TEAM0053,28.01.2014 15:20,2014-01-28
326092,326092,IM0031235,28.01.2014 15:20,Closed,TEAM0018,28.01.2014 15:30,2014-01-28
326177,326177,IM0031246,27.01.2014 11:18,Open,TEAM0008,27.01.2014 12:59,2014-01-27
326178,326178,IM0031246,27.01.2014 12:59,Assignment,TEAM0007,05.02.2014 11:57,2014-01-27
326179,326179,IM0031246,05.02.2014 11:57,Caused By CI,TEAM0007,05.02.2014 11:57,2014-05-02
326180,326180,IM0031246,05.02.2014 11:57,Closed,TEAM0007,05.02.2014 11:57,2014-05-02
326181,326181,IM0031246,05.02.2014 11:57,Quality Indicator Fixed,TEAM0007,05.02.2014 12:07,2014-05-02
326371,326371,IM0031269,27.01.2014 12:26,Open,TEAM0018,27.01.2014 13:21,2014-01-27
326372,326372,IM0031269,27.01.2014 13:21,Update,TEAM0018,27.01.2014 13:21,2014-01-27
326373,326373,IM0031269,27.01.2014 13:21,Reassignment,TEAM0018,27.01.2014 13:55,2014-01-27
326374,326374,IM0031269,27.01.2014 13:55,Update,TEAM0019,27.01.2014 13:55,2014-01-27
326375,326375,IM0031269,27.01.2014 13:55,Reassignment,TEAM0019,27.01.2014 14:58,2014-01-27
326376,326376,IM0031269,27.01.2014 14:58,Caused By CI,TEAM0018,27.01.2014 14:58,2014-01-27
326377,326377,IM0031269,27.01.2014 14:58,Closed,TEAM0018,27.01.2014 15:08,2014-01-27
326451,326451,IM0031281,27.01.2014 10:51,Open,TEAM0008,27.01.2014 11:11,2014-01-27
326452,326452,IM0031281,27.01.2014 11:11,Assignment,TEAM0192,27.01.2014 11:11,2014-01-27
326453,326453,IM0031281,27.01.2014 11:11,Status Change,TEAM0192,27.01.2014 11:24,2014-01-27
326454,326454,IM0031281,27.01.2014 11:24,Closed,TEAM0192,27.01.2014 11:24,2014-01-27
326455,326455,IM0031281,27.01.2014 11:24,Caused By CI,TEAM0192,27.01.2014 11:34,2014-01-27
326476,326476,IM0031283,27.01.2014 11:01,Open,TEAM0008,27.01.2014 15:02,2014-01-27
326477,326477,IM0031283,27.01.2014 15:02,Assignment,TEAM0197,27.01.2014 15:13,2014-01-27
326478,326478,IM0031283,27.01.2014 15:13,Operator Update,TEAM0197,27.01.2014 15:29,2014-01-27
326479,326479,IM0031283,27.01.2014 15:29,Operator Update,TEAM0197,27.01.2014 15:29,2014-01-27
326480,326480,IM0031283,27.01.2014 15:29,Closed,TEAM0197,27.01.2014 15:39,2014-01-27
326504,326504,IM0031289,27.01.2014 11:16,Open,TEAM0008,27.01.2014 11:36,2014-01-27
326505,326505,IM0031289,27.01.2014 11:36,Assignment,TEAM0132,27.01.2014 11:42,2014-01-27
326506,326506,IM0031289,27.01.2014 11:42,Operator Update,TEAM0132,27.01.2014 11:51,2014-01-27
326507,326507,IM0031289,27.01.2014 11:51,Caused By CI,TEAM0132,27.01.2014 11:51,2014-01-27
326508,326508,IM0031289,27.01.2014 11:51,Closed,TEAM0132,27.01.2014 12:01,2014-01-27
326612,326612,IM0031304,27.01.2014 12:13,Open,TEAM0008,27.01.2014 13:37,2014-01-27
326613,326613,IM0031304,27.01.2014 13:37,Quality Indicator Fixed,TEAM0039,27.01.2014 13:37,2014-01-27
326614,326614,IM0031304,27.01.2014 13:37,Caused By CI,TEAM0039,27.01.2014 13:37,2014-01-27
326615,326615,IM0031304,27.01.2014 13:37,Closed,TEAM0039,27.01.2014 13:47,2014-01-27
326778,326778,IM0031321,27.01.2014 11:59,Open,TEAM0008,27.01.2014 13:51,2014-01-27
326779,326779,IM0031321,27.01.2014 13:51,Status Change,TEAM0007,27.01.2014 13:51,2014-01-27
326780,326780,IM0031321,27.01.2014 13:51,Assignment,TEAM0007,30.01.2014 11:14,2014-01-27
326781,326781,IM0031321,30.01.2014 11:14,Quality Indicator Fixed,TEAM0007,30.01.2014 11:14,2014-01-30
326782,326782,IM0031321,30.01.2014 11:14,Caused By CI,TEAM0007,30.01.2014 11:14,2014-01-30
326783,326783,IM0031321,30.01.2014 11:14,Closed,TEAM0007,30.01.2014 11:24,2014-01-30
326851,326851,IM0031331,27.01.2014 13:20,Open,TEAM0008,27.01.2014 13:39,2014-01-27
326852,326852,IM0031331,27.01.2014 13:39,Assignment,TEAM0176,27.01.2014 13:39,2014-01-27
326853,326853,IM0031331,27.01.2014 13:39,Status Change,TEAM0176,27.01.2014 13:41,2014-01-27
326854,326854,IM0031331,27.01.2014 13:41,Operator Update,TEAM0176,27.01.2014 13:48,2014-01-27
326855,326855,IM0031331,27.01.2014 13:48,Status Change,TEAM0176,27.01.2014 13:48,2014-01-27
326856,326856,IM0031331,27.01.2014 13:48,Quality Indicator Set,TEAM0176,27.01.2014 13:48,2014-01-27
326857,326857,IM0031331,27.01.2014 13:48,Operator Update,TEAM0176,27.01.2014 13:48,2014-01-27
326858,326858,IM0031331,27.01.2014 13:48,Operator Update,TEAM0176,27.01.2014 13:59,2014-01-27
326859,326859,IM0031331,27.01.2014 13:59,Operator Update,TEAM0176,27.01.2014 14:08,2014-01-27
326860,326860,IM0031331,27.01.2014 14:08,Communication with customer,TEAM0008,27.01.2014 14:08,2014-01-27
326861,326861,IM0031331,27.01.2014 14:08,Status Change,TEAM0008,27.01.2014 14:08,2014-01-27
326862,326862,IM0031331,27.01.2014 14:08,Assignment,TEAM0008,27.01.2014 14:10,2014-01-27
326863,326863,IM0031331,27.01.2014 14:10,Assignment,TEAM0176,27.01.2014 14:10,2014-01-27
326864,326864,IM0031331,27.01.2014 14:10,Status Change,TEAM0176,27.01.2014 14:20,2014-01-27
326865,326865,IM0031331,27.01.2014 14:20,Operator Update,TEAM0176,27.01.2014 14:26,2014-01-27
326866,326866,IM0031331,27.01.2014 14:26,Operator Update,TEAM0176,27.01.2014 14:43,2014-01-27
326867,326867,IM0031331,27.01.2014 14:43,Quality Indicator Fixed,TEAM0176,27.01.2014 14:43,2014-01-27
326868,326868,IM0031331,27.01.2014 14:43,Reassignment,TEAM0176,27.01.2014 14:43,2014-01-27
326869,326869,IM0031331,27.01.2014 14:43,Assignment,TEAM0176,27.01.2014 14:43,2014-01-27
326870,326870,IM0031331,27.01.2014 14:43,Operator Update,TEAM0176,27.01.2014 14:43,2014-01-27
326871,326871,IM0031331,27.01.2014 14:43,Status Change,TEAM0176,27.01.2014 14:43,2014-01-27
326872,326872,IM0031331,27.01.2014 14:43,External Vendor Assignment,TEAM0176,27.01.2014 15:34,2014-01-27
326873,326873,IM0031331,27.01.2014 15:34,Assignment,TEAM0070,27.01.2014 15:34,2014-01-27
326874,326874,IM0031331,27.01.2014 15:34,Reassignment,TEAM0070,27.01.2014 15:34,2014-01-27
326875,326875,IM0031331,27.01.2014 15:34,Operator Update,TEAM0070,27.01.2014 16:40,2014-01-27
326876,326876,IM0031331,27.01.2014 16:40,Reassignment,TEAM0176,27.01.2014 16:40,2014-01-27
326877,326877,IM0031331,27.01.2014 16:40,Assignment,TEAM0176,27.01.2014 16:40,2014-01-27
326878,326878,IM0031331,27.01.2014 16:40,Operator Update,TEAM0176,28.01.2014 07:32,2014-01-27
326879,326879,IM0031331,28.01.2014 07:32,Analysis/Research,TEAM0071,28.01.2014 07:32,2014-01-28
326880,326880,IM0031331,28.01.2014 07:32,Reassignment,TEAM0071,28.01.2014 07:32,2014-01-28
326881,326881,IM0031331,28.01.2014 07:32,Assignment,TEAM0071,28.01.2014 09:48,2014-01-28
326882,326882,IM0031331,28.01.2014 09:48,Caused By CI,TEAM0176,28.01.2014 09:48,2014-01-28
326883,326883,IM0031331,28.01.2014 09:48,Closed,TEAM0176,28.01.2014 09:58,2014-01-28
327143,327143,IM0031371,27.01.2014 11:51,Open,TEAM0008,27.01.2014 12:41,2014-01-27
327144,327144,IM0031371,27.01.2014 12:41,Assignment,TEAM0039,27.01.2014 12:42,2014-01-27
327145,327145,IM0031371,27.01.2014 12:42,Closed,TEAM0039,27.01.2014 12:52,2014-01-27
327168,327168,IM0031377,27.01.2014 12:06,Open,TEAM0008,27.01.2014 13:33,2014-01-27
327169,327169,IM0031377,27.01.2014 13:33,Assignment,TEAM0039,27.01.2014 13:33,2014-01-27
327170,327170,IM0031377,27.01.2014 13:33,Reassignment,TEAM0039,27.01.2014 15:02,2014-01-27
327171,327171,IM0031377,27.01.2014 15:02,Caused By CI,TEAM0187,27.01.2014 15:02,2014-01-27
327172,327172,IM0031377,27.01.2014 15:02,Closed,TEAM0187,27.01.2014 15:12,2014-01-27
327320,327320,IM0031397,27.01.2014 13:25,Open,TEAM0008,27.01.2014 15:31,2014-01-27
327321,327321,IM0031397,27.01.2014 15:31,Assignment,TEAM0143,27.01.2014 15:41,2014-01-27
327322,327322,IM0031397,27.01.2014 15:41,Status Change,TEAM0207,28.01.2014 12:49,2014-01-27
327323,327323,IM0031397,28.01.2014 12:49,Communication with customer,TEAM0207,28.01.2014 12:49,2014-01-28
327324,327324,IM0031397,28.01.2014 12:49,Closed,TEAM0207,28.01.2014 12:49,2014-01-28
327325,327325,IM0031397,28.01.2014 12:49,Caused By CI,TEAM0207,28.01.2014 12:59,2014-01-28
327326,327326,IM0031398,27.01.2014 12:40,Open,TEAM0199,27.01.2014 12:47,2014-01-27
327327,327327,IM0031398,27.01.2014 12:47,Update,TEAM0199,27.01.2014 13:27,2014-01-27
327328,327328,IM0031398,27.01.2014 13:27,Assignment,TEAM0134,28.01.2014 06:41,2014-01-27
327329,327329,IM0031398,28.01.2014 06:41,Status Change,TEAM0134,28.01.2014 14:04,2014-01-28
327330,327330,IM0031398,28.01.2014 14:04,Status Change,TEAM0134,28.01.2014 14:32,2014-01-28
327331,327331,IM0031398,28.01.2014 14:32,Closed,TEAM0134,28.01.2014 14:42,2014-01-28
327332,327332,IM0031399,27.01.2014 12:48,Open,TEAM0008,28.01.2014 11:30,2014-01-27
327333,327333,IM0031399,28.01.2014 11:30,Update,TEAM0039,28.01.2014 11:30,2014-01-28
327334,327334,IM0031399,28.01.2014 11:30,Reassignment,TEAM0039,28.01.2014 15:11,2014-01-28
327335,327335,IM0031399,28.01.2014 15:11,Update,TEAM0197,28.01.2014 15:11,2014-01-28
327336,327336,IM0031399,28.01.2014 15:11,Assignment,TEAM0197,28.01.2014 15:12,2014-01-28
327337,327337,IM0031399,28.01.2014 15:12,Status Change,TEAM0197,29.01.2014 07:55,2014-01-28
327338,327338,IM0031399,29.01.2014 07:55,Operator Update,TEAM0187,29.01.2014 08:27,2014-01-29
327339,327339,IM0031399,29.01.2014 08:27,Operator Update,TEAM0187,29.01.2014 16:58,2014-01-29
327340,327340,IM0031399,29.01.2014 16:58,Operator Update,TEAM0187,30.01.2014 10:07,2014-01-29
327341,327341,IM0031399,30.01.2014 10:07,Closed,TEAM9999,30.01.2014 13:23,2014-01-30
327342,327342,IM0031399,30.01.2014 13:23,Operator Update,TEAM0187,30.01.2014 13:25,2014-01-30
327343,327343,IM0031399,30.01.2014 13:25,Operator Update,TEAM0187,30.01.2014 13:27,2014-01-30
327344,327344,IM0031399,30.01.2014 13:27,Problem Workaround,TEAM9999,30.01.2014 13:27,2014-01-30
327345,327345,IM0031399,30.01.2014 13:27,Status Change,TEAM9999,10.02.2014 07:38,2014-01-30
327346,327346,IM0031399,10.02.2014 07:38,Operator Update,TEAM0187,10.02.2014 14:18,2014-10-02
327347,327347,IM0031399,10.02.2014 14:18,Closed,TEAM0187,10.02.2014 14:28,2014-10-02
327404,327404,IM0031407,27.01.2014 13:39,Open,TEAM0008,27.01.2014 14:54,2014-01-27
327405,327405,IM0031407,27.01.2014 14:54,Status Change,TEAM0191,27.01.2014 14:54,2014-01-27
327406,327406,IM0031407,27.01.2014 14:54,Assignment,TEAM0191,27.01.2014 15:08,2014-01-27
327407,327407,IM0031407,27.01.2014 15:08,Status Change,TEAM0191,27.01.2014 15:08,2014-01-27
327408,327408,IM0031407,27.01.2014 15:08,Operator Update,TEAM0191,27.01.2014 15:19,2014-01-27
327409,327409,IM0031407,27.01.2014 15:19,Update from customer,TEAM0191,27.01.2014 15:21,2014-01-27
327410,327410,IM0031407,27.01.2014 15:21,Reassignment,TEAM0191,27.01.2014 15:21,2014-01-27
327411,327411,IM0031407,27.01.2014 15:21,Operator Update,TEAM0191,27.01.2014 15:21,2014-01-27
327412,327412,IM0031407,27.01.2014 15:21,Status Change,TEAM0191,27.01.2014 15:21,2014-01-27
327413,327413,IM0031407,27.01.2014 15:21,Assignment,TEAM0191,28.01.2014 07:19,2014-01-27
327414,327414,IM0031407,28.01.2014 07:19,Status Change,TEAM0197,28.01.2014 07:19,2014-01-28
327415,327415,IM0031407,28.01.2014 07:19,Assignment,TEAM0197,07.02.2014 10:04,2014-01-28
327416,327416,IM0031407,07.02.2014 10:04,Reassignment,TEAM0197,07.02.2014 10:04,2014-07-02
327417,327417,IM0031407,07.02.2014 10:04,Update,TEAM0197,07.02.2014 10:04,2014-07-02
327418,327418,IM0031407,07.02.2014 10:04,Assignment,TEAM0197,07.02.2014 10:14,2014-07-02
327419,327419,IM0031407,07.02.2014 10:14,Assignment,TEAM0187,07.02.2014 11:31,2014-07-02
327420,327420,IM0031407,07.02.2014 11:31,Operator Update,TEAM0187,07.02.2014 13:08,2014-07-02
327421,327421,IM0031407,07.02.2014 13:08,Status Change,TEAM0187,10.02.2014 07:45,2014-07-02
327422,327422,IM0031407,10.02.2014 07:45,Update from customer,TEAM0191,10.02.2014 07:54,2014-10-02
327423,327423,IM0031407,10.02.2014 07:54,Reassignment,TEAM0187,26.02.2014 12:48,2014-10-02
327424,327424,IM0031407,26.02.2014 12:48,Reassignment,TEAM0197,26.02.2014 12:48,2014-02-26
327425,327425,IM0031407,26.02.2014 12:48,Update,TEAM0197,26.02.2014 12:48,2014-02-26
327426,327426,IM0031407,26.02.2014 12:48,Assignment,TEAM0197,26.02.2014 14:58,2014-02-26
327427,327427,IM0031407,26.02.2014 14:58,Status Change,TEAM0187,26.02.2014 14:58,2014-02-26
